tempo_s,x,y,z
2025-04-24T19:59:02.437821,0.0083,0.1547,0.9878
2025-04-24T19:59:02.488425,0.0096,0.1549,0.9887
2025-04-24T19:59:02.543836,0.0088,0.1552,0.9879
2025-04-24T19:59:02.591572,0.0097,0.1561,0.9883
2025-04-24T19:59:02.642696,0.0088,0.1552,0.9898
2025-04-24T19:59:02.692273,0.0098,0.1543,0.9888
2025-04-24T19:59:02.744803,0.0099,0.1557,0.9884
2025-04-24T19:59:02.796229,0.0097,0.1555,0.9884
2025-04-24T19:59:02.845287,0.0089,0.1548,0.988
2025-04-24T19:59:02.896232,0.0102,0.1543,0.9885
2025-04-24T19:59:02.947167,0.0083,0.1563,0.9871
2025-04-24T19:59:03.003054,0.0078,0.1546,0.9868
2025-04-24T19:59:03.049290,0.01,0.1554,0.9872
2025-04-24T19:59:03.099951,0.0083,0.1545,0.9895
2025-04-24T19:59:03.151138,0.0083,0.1551,0.9891
2025-04-24T19:59:03.202183,0.0113,0.1563,0.989
2025-04-24T19:59:03.253128,0.008,0.1546,0.9894
2025-04-24T19:59:03.306528,0.0092,0.1556,0.9876
2025-04-24T19:59:03.355999,0.0104,0.1573,0.9893
2025-04-24T19:59:03.410301,0.0081,0.155,0.9872
2025-04-24T19:59:03.457618,0.0077,0.1551,0.987
2025-04-24T19:59:03.512353,0.0111,0.1561,0.9869
2025-04-24T19:59:03.559584,0.009,0.1538,0.9866
2025-04-24T19:59:03.612260,0.0088,0.155,0.9874
2025-04-24T19:59:03.663516,0.0114,0.1564,0.9872
2025-04-24T19:59:03.712571,0.0085,0.1551,0.9882
2025-04-24T19:59:03.763151,0.0092,0.1547,0.9885
2025-04-24T19:59:03.814081,0.0107,0.156,0.987
2025-04-24T19:59:03.865624,0.0082,0.1553,0.9887
2025-04-24T19:59:03.918499,0.0087,0.1557,0.9879
2025-04-24T19:59:03.969034,0.0109,0.1558,0.9891
2025-04-24T19:59:04.018258,0.0083,0.1549,0.9894
2025-04-24T19:59:04.069949,0.0099,0.1559,0.9878
2025-04-24T19:59:04.121780,0.01,0.1567,0.9866
2025-04-24T19:59:04.171780,0.0084,0.1541,0.9881
2025-04-24T19:59:04.222386,0.0113,0.1546,0.9863
2025-04-24T19:59:04.273818,0.0094,0.1558,0.9863
2025-04-24T19:59:04.324317,0.0078,0.155,0.9886
2025-04-24T19:59:04.376757,0.0099,0.1554,0.9861
2025-04-24T19:59:04.426172,0.0093,0.1541,0.9873
2025-04-24T19:59:04.493658,0.0079,0.1554,0.9899
2025-04-24T19:59:04.530434,0.01,0.1562,0.9884
2025-04-24T19:59:04.582069,0.0082,0.1562,0.9894
2025-04-24T19:59:04.630411,0.0093,0.155,0.9894
2025-04-24T19:59:04.689664,0.0112,0.1548,0.9863
2025-04-24T19:59:04.732355,0.0089,0.1557,0.9878
2025-04-24T19:59:04.786463,0.0088,0.155,0.987
2025-04-24T19:59:04.834539,0.0104,0.1553,0.9868
2025-04-24T19:59:04.894474,0.0087,0.1561,0.9895
2025-04-24T19:59:04.937394,0.0086,0.1557,0.9897
2025-04-24T19:59:04.989831,0.011,0.1551,0.988
2025-04-24T19:59:05.040504,0.0089,0.1545,0.9885
2025-04-24T19:59:05.096445,0.01,0.1544,0.9877
2025-04-24T19:59:05.140496,0.0096,0.1553,0.9868
2025-04-24T19:59:05.195672,0.0083,0.1554,0.9872
2025-04-24T19:59:05.242123,0.0104,0.1559,0.9873
2025-04-24T19:59:05.294984,0.0094,0.1546,0.9884
2025-04-24T19:59:05.344269,0.0087,0.1546,0.988
2025-04-24T19:59:05.397742,0.0096,0.1552,0.9892
2025-04-24T19:59:05.446345,0.0092,0.1551,0.9886
2025-04-24T19:59:05.501525,0.0093,0.1556,0.9902
2025-04-24T19:59:05.549018,0.0095,0.1559,0.9878
2025-04-24T19:59:05.604014,0.0088,0.1559,0.9887
2025-04-24T19:59:05.651066,0.0099,0.1542,0.9886
2025-04-24T19:59:05.706087,0.0103,0.1548,0.988
2025-04-24T19:59:05.753886,0.0076,0.1555,0.989
2025-04-24T19:59:05.803069,0.0096,0.156,0.988
2025-04-24T19:59:05.858722,0.0106,0.1545,0.9882
2025-04-24T19:59:05.910991,0.0078,0.1545,0.9888
2025-04-24T19:59:05.960674,0.0085,0.155,0.9886
2025-04-24T19:59:06.016152,0.0104,0.1555,0.9889
2025-04-24T19:59:06.060539,0.0079,0.1546,0.9889
2025-04-24T19:59:06.110508,0.0094,0.1551,0.9894
2025-04-24T19:59:06.160210,0.0094,0.1545,0.9864
2025-04-24T19:59:06.214656,0.0085,0.1546,0.986
2025-04-24T19:59:06.262752,0.0097,0.1551,0.9887
2025-04-24T19:59:06.317749,0.0082,0.1559,0.9893
2025-04-24T19:59:06.364345,0.0081,0.1555,0.989
2025-04-24T19:59:06.423199,0.0093,0.1552,0.9903
2025-04-24T19:59:06.470122,0.0079,0.1555,0.9888
2025-04-24T19:59:06.521183,0.009,0.1559,0.9886
2025-04-24T19:59:06.568118,0.0098,0.1553,0.9894
2025-04-24T19:59:06.626728,0.0087,0.154,0.987
2025-04-24T19:59:06.670429,0.0091,0.1554,0.9858
